"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"243","11","Tarde",10,0.0671140939597315,"Moderado"
"244","110","Mañana",1,0.00671140939597315,"Muy bajo"
"245","110","Noche",1,0.00671140939597315,"Muy bajo"
"246","110","Tarde",5,0.0335570469798658,"Bajo"
"247","1100","Madrugada",2,0.0134228187919463,"Bajo"
"248","1100","Mañana",2,0.0134228187919463,"Bajo"
"249","1100","Noche",3,0.0201342281879195,"Bajo"
"250","1100","Tarde",2,0.0134228187919463,"Bajo"
"251","1101","Madrugada",1,0.00671140939597315,"Muy bajo"
"252","1101","Mañana",2,0.0134228187919463,"Bajo"
"253","1101","Noche",1,0.00671140939597315,"Muy bajo"
"254","1101","Tarde",2,0.0134228187919463,"Bajo"
"255","1102","Madrugada",4,0.0268456375838926,"Bajo"
"256","1102","Mañana",7,0.0469798657718121,"Bajo"
"257","1102","Tarde",7,0.0469798657718121,"Bajo"
"258","1103","Madrugada",1,0.00671140939597315,"Muy bajo"
"259","1103","Mañana",1,0.00671140939597315,"Muy bajo"
"260","1103","Noche",1,0.00671140939597315,"Muy bajo"
"261","1103","Tarde",2,0.0134228187919463,"Bajo"
"262","1104","Madrugada",2,0.0134228187919463,"Bajo"
"263","1104","Mañana",4,0.0268456375838926,"Bajo"
"264","1104","Tarde",4,0.0268456375838926,"Bajo"
"265","1105","Madrugada",3,0.0201342281879195,"Bajo"
"266","1105","Mañana",1,0.00671140939597315,"Muy bajo"
"267","1105","Noche",2,0.0134228187919463,"Bajo"
"268","1105","Tarde",1,0.00671140939597315,"Muy bajo"
"269","1106","Madrugada",1,0.00671140939597315,"Muy bajo"
"270","1106","Mañana",6,0.0402684563758389,"Bajo"
"271","1106","Noche",1,0.00671140939597315,"Muy bajo"
"272","1106","Tarde",5,0.0335570469798658,"Bajo"
"273","1107","Madrugada",4,0.0268456375838926,"Bajo"
"274","1107","Mañana",1,0.00671140939597315,"Muy bajo"
"275","1107","Noche",1,0.00671140939597315,"Muy bajo"
"276","1108","Tarde",2,0.0134228187919463,"Bajo"
"277","1109","Mañana",3,0.0201342281879195,"Bajo"
"278","1109","Tarde",1,0.00671140939597315,"Muy bajo"
"279","1110","Mañana",2,0.0134228187919463,"Bajo"
"280","1110","Tarde",1,0.00671140939597315,"Muy bajo"
"281","1111","Madrugada",1,0.00671140939597315,"Muy bajo"
"282","1111","Mañana",1,0.00671140939597315,"Muy bajo"
"283","1111","Noche",2,0.0134228187919463,"Bajo"
"284","1112","Madrugada",1,0.00671140939597315,"Muy bajo"
"285","1112","Mañana",4,0.0268456375838926,"Bajo"
"286","1113","Madrugada",1,0.00671140939597315,"Muy bajo"
"287","1113","Noche",1,0.00671140939597315,"Muy bajo"
"288","1113","Tarde",2,0.0134228187919463,"Bajo"
"289","1114","Madrugada",5,0.0335570469798658,"Bajo"
"290","1114","Mañana",1,0.00671140939597315,"Muy bajo"
"291","1114","Noche",2,0.0134228187919463,"Bajo"
"292","1114","Tarde",1,0.00671140939597315,"Muy bajo"
